compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,mean_compound_error,mean_context_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,144,0.10177389,0.0006210603,0.02492108,0.09915522,0.07539889,0.0005865496,0.02249705,0.0070168087,0.1488339297013888,0.006506887,0.9830414186805556,0.9980947,0.0003028009084027,0.9996971990915972
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.10196324,0.00074545183,0.02730297,0.09912634,0.073337294,0.00063817383,0.022532672,0.01137038,0.1832299974142857,0.0057315817,0.9738846024642858,0.99868095,0.000454201362604,0.999545798637396
1571,3-(4-Methylpiperazine-1-carbonyl)-7-oxabicyclo(2.2.1)heptane-2-carboxylic acid; LB-100,130,0.10778303,0.00088308577,0.029716754,0.106208086,0.08117521,0.00086549553,0.022700973,0.0068081175,0.1592468198076923,0.013626978,0.978107301153846,0.9964825000000002,0.0006056018168054,0.9993943981831944
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,136,0.113928765,0.00068653293,0.026201773,0.11089277,0.071620986,0.0006136551,0.036244225,0.010647769,0.1669813834191176,0.009997434,0.9790762863235294,0.99721533,0.0009084027252081,0.9990915972747918
5217,Pitavastatin (Calcium); Pitavastatin Calcium,142,0.11582055,0.00046794402,0.021632016,0.11430791,0.071288265,0.00041220806,0.036866244,0.012011656,0.1766233736619718,0.043460086,0.9749041359859154,0.9843177,0.0010598031794095,0.9989401968205904
155,Tirabrutinib,139,0.11639266,0.0009639491,0.031047529,0.11244377,0.07781952,0.0008102259,0.030683085,0.014404248,0.1533593333669064,0.035599034,0.9784079476978416,0.98812836,0.0012112036336109,0.9987887963663892
5175,Fostamatinib (disodium hexahydrate),135,0.11962132,0.00066793663,0.025844477,0.117099494,0.068284936,0.00053892867,0.040776365,0.019140322,0.1909103166666666,0.08240803,0.9762472497037038,0.97449803,0.0013626040878122,0.9986373959121876
767,Posaconazole,137,0.11999656,0.00063596637,0.025218373,0.121047124,0.07880342,0.0005723025,0.03459073,0.011468245,0.1662421125328467,0.042152412,0.9737054367883212,0.9853437,0.0015140045420136,0.9984859954579864
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",147,0.1227301,0.020459779,0.1430377,0.10067889,0.091789864,0.016538573,0.024110023,0.011833336,0.1552262257823129,0.051410105,0.9818659889115646,0.98270553,0.0016654049962149,0.998334595003785
643,Glycyrrhizic acid; Glycyrrhizin,140,0.1236017,0.00068102713,0.026096497,0.119524784,0.07736733,0.0006038986,0.03752957,0.015028072,0.2070344792928571,0.011159303,0.9676019895714286,0.99662906,0.0019682059046177,0.9980317940953825
5204,Cytarabine (hydrochloride); Cytarabine Hydrochloride,135,0.12429285,0.0007863168,0.028041339,0.1220752,0.077620424,0.00061006536,0.03945723,0.013380812,0.1790708675037037,0.0029860279,0.9716311482962964,0.99970686,0.002119606358819,0.997880393641181
